content,category
"Saudi investor picks up the Savoy

London's famous Savoy hotel has been sold to a group combining Saudi billionaire investor Prince Alwaleed bin Talal and a unit of HBOS bank.

Financial details of the deal, which includes the nearby Simpson's in the Strand restaurant, were not disclosed. The seller - Irish-based property firm Quinlan Private - bought the Savoy along with the Berkeley, Claridge's and the Connaught for £750m last year. Prince Alwaleed's hotel investments include the luxury George V in Paris. He also has substantial stakes in Fairmont Hotels & Resorts, which will manage the Savoy and Simpson's in the Strand, and Four Seasons. Fairmont said it planned to invest $48m (£26m) in renovating parts of the Savoy including the River Room and suites with views over the River Thames. Work was expected to be completed by summer 2006, Fairmont said.
",business
"Lacroix label bought by US firm

Luxury goods group LVMH has sold its loss-making Christian Lacroix clothing label to a US investment group.

The Paris-based firm has been shedding non-core businesses and focusing on its most profitable brands including Moet & Chandon champagne and Louis Vuitton. LVMH said the French designer's haute couture and ready-to-wear labels had been purchased by the Falic Group for an unspecified sum. The Falic Group bought two cosmetics labels from LVMH in 2003. The sale of the Lacroix label comes as many fashion houses are struggling to make money from their expensive haute couture ranges. The Florida-based Falic group, which also runs a chain of 90 duty free stores in the US, said it planned to expand the brand by opening new stores. Mr Lacroix said he planned to stay at the label he founded in 1987 although exact details are still to be confirmed.
",business
"Parmalat bank barred from suing

Bank of America has been banned from suing Parmalat, the food group which went bust in 2003 after an accounting scandal.

The bank - along with investors, auditors and the group's managers - wants damages for being a victim of fraud at the hands of the Italian firm. But a judge has barred Bank of America and two auditors from the case. The bank, and Italaudit - formerly the Italian arm of auditor Grant Thornton - face lawsuits and possible prosecution. A second auditor, Deloitte & Touche, has also been banned from the case. Grant Thornton - now rid of the Italian unit at the centre of the case - is still being permitted to sue, as are Consob, Italy's stock market regulator, hundreds of small investors and Parmalat's new managers. Parmalat collapsed in December 2003 after it emerged that the 4bn euros ($5.2bn; £2.8bn) it supposedly held in a Bank of American offshore account did not in fact exist.
",business
"Virgin Blue shares plummet 20%

Shares in Australian budget airline Virgin Blue plunged 20% after it warned of a steep fall in full year profits.

Virgin Blue said profits after tax for the year to March would be between 10% to 15% lower than the previous year. ""Sluggish demand reported previously for November and now December 2004 continues,"" said Virgin Blue chief executive Brett Godfrey. Virgin Blue, which is 25% owned by Richard Branson, has been struggling to fend off pressure from rival Jetstar. It cut its full year passenger number forecast by ""approximately 2.5%"". Virgin Blue reported a 22% fall in first quarter profits in August 2004 due to tough competition. In November, first half profits were down due to slack demand and rising fuel costs. Virgin Blue was launched four years ago and now has roughly one third of Australia's domestic airline market. But the national carrier, Qantas, has fought back with its own budget airline, Jetstar, which took to the skies in May 2004. Sydney-listed Virgin Blue's shares recovered slightly to close 12% down on Wednesday. Shares in its major shareholder, Patrick Corporation - which owns 46% of Virgin Blue - had dropped 31% by the close.
",business
"Two Nigerian banks set to merge

Nigerian banks United Bank of Africa and Standard Trust Bank have agreed plans to merge and create the biggest bank in West Africa.

The deal is also in line with a 2004 directive from the Nigerian central bank that called for more consolidation in the nation's crowded banking sector. The merger was announced in a statement on Standard Trust's website on Tuesday, but no financial details were revealed. United Bank is the third biggest in Nigeria in terms of number of branches. Standard Trust is smaller but more profitable. ""The boards of United Bank and Standard Trust, at separate meetings yesterday, approved arrangements to merge both institutions,"" Standard Trust said. Standard Trust is 100% Nigerian-owned, but United Bank has some foreign investors, including New York-based Global Depository Receipts (32.8%), and Banca Nazionale del Lavoro and Monte del Paschi di Siena, both from Italy, who each have a 2.4% stake.
",business
"Mitsubishi in Peugeot link talks

Trouble-hit Mitsubishi Motors is in talks with French carmaker PSA Peugeot Citroen about a possible alliance.

On Tuesday Mitsubishi, the only major Japanese car firm in the red, confirmed earlier reports of negotiations. But a spokesman refused to comment on speculation that Mitsubishi could end up building cars for PSA and perhaps its Japanese rival Nissan. Mitsubishi has been hit by a recall scandal and the withdrawal of support from shareholder DaimlerChrysler. The US-German firm, once a majority shareholder, decided last April to stop providing financial backing. Mitsubishi's sales have slid 41% in the past year, catalysed by the revelation that the company had systematically been hiding records of faults and then secretly repairing vehicles. Mitsubishi is due to unveil a recovery plan later in January. Analysts said that alliances with other carmakers would be a necessary part of whatever it came up with, not least because its own slow sales have left its manufacturing capacity under-used.
",business
"Cairn Energy in Indian gas find

Shares in Cairn Energy rose 3.8% to 1,088 pence on Tuesday after the UK firm announced a fresh gas discovery in northern India.

The firm, which last year made a number of other new finds in the Rajasthan area, said the latest discovery could lead to large gas volumes. However, chief executive Bill Gammell cautioned that additional evalution was first needed at the site. Cairn has also been granted approval to extend its Rajasthan exploration area. This approval has come from the Indian government.

A spokesman said the company's decision to carry out further investigations at the new find showed that it believed there was significant gas. But he added: ""It's still too early to say what the extent of it is."" Cairn's string of finds in Rajasthan last year saw it elevated to the FTSE 100 index of the UK's leading listed companies. The company had bought the rights to explore in the area from oil giant Shell. Mr Gammell is a former Scottish international rugby player.
",business
"Wipro beats forecasts once again

Wipro, India's third-biggest software firm, has reported a 60% rise in profit, topping market expectations.

Net income in the last quarter was 4.3bn rupees ($98m; £52m), against 2.7bn a year earlier. Profit had been forecast to be 4.1bn rupees. Wipro offers services such as call centres to foreign clients and has worked for more than half of the companies on the Fortune 500 list. Wipro said demand was strong, allowing it to increase the prices it charged.

""On the face of it, the results don't look very exciting,"" said Apurva Shah, an analyst at ASK-Raymond James. ""But the guidance is positive and pricing going up is good news."" Third-quarter sales rose 34% to 20.9bn rupees. One problem identified by Wipro was the high turnover of its staff. It said that 90% of employees at its business process outsourcing operations had had to be replaced. ""We have to get that under control,"" said vice-chairman Vivek Paul. Wipro is majority owned by India's richest man Azim Premji.
",business
"US economy still growing says Fed

Most areas of the US saw their economy continue to expand in December and early January, the US Federal Reserve said in its latest Beige Book report.

Of the 12 US regions it identifies for the study, 11 showed stronger economic growth, with only the Cleveland area falling behind with a ""mixed"" rating. Consumer spending was higher in December than November, and festive sales were also up on 2003. The employment picture also improved, the Fed said.

""Labour markets firmed in a number of districts, but wage pressures generally remained modest,"" the Beige Book said. ""Several districts reported higher prices for building materials and manufacturing inputs, but most reported steady or only slightly higher overall price levels."" The report added that residential real estate activity remained strong and that commercial real estate activity strengthened in most districts. ""Office leasing was especially brisk in Washington DC, and New York City, two of the nation's strongest commercial markets,"" the Fed said.
",business
"BA to suspend two Saudi services

British Airways is to halt its flights from London Heathrow to Jeddah and Riyadh in Saudi Arabia from 27 March.

The airline said the decision was a commercial one due to reduced passenger demand for the services. BA currently operates four flights per week from Heathrow to Jeddah, and three weekly journeys to Riyadh. It suspended flights to Saudi Arabia for three weeks in autumn 2003 after a government warning about a ""threat to UK aviation interests in Saudi Arabia"".

BA will now suspend the Saudi flights - which it says will remain ""under constant review"" - from 27 March. ""The decision to suspend flights between the UK and Saudi Arabia is a difficult one to make as we have enjoyed a long history of flying between the two countries,"" said BA director of commercial planning, Robert Boyle. ""However, the routes don't currently make a profitable contribution to our business and we are unable to sustain them while this remains the case."" Passengers with flights booked after the suspension date will be contacted by BA for alternative arrangements to be made.
",business
"Ailing EuroDisney vows turnaround

EuroDisney, the European home of Mickey Mouse and friends, has said it will sell 253m euros (£175m; $328m) of new shares as it looks to avoid insolvency.

The sale is the last part of a plan to restructure 2.4bn euros-worth of debts. Despite struggling since it was opened in 1992, EuroDisney has recently made progress in turning its business around and ticket sales have picked up. However, analysts still question whether it attracts enough visitors to stay open, even with the restructuring.

EuroDisney remains Europe's largest single tourist attraction, attracting some 12.4 million visitors annually. A new attraction - Walt Disney Studios - has recently opened its site near Paris. The company's currently traded stock tumbled in Paris on the latest news, shedding 15% to 22 euro cents. EuroDisney will sell the new shares priced at 9 euros cents each. The US Disney Corporation and Saudi Arabian prince Al-Walid bin Talal, the firm's two main shareholders, will buy the new stock. The restructuring deal is the second in the firm's troubled financial history; its finances were first reorganised in 1994.
",business
